All,Acquistion Finance,Asset-based Lending,Asset Finance & Leasing,Bank Lending,Commodities: Derivatives,Commodities: Physicals,Corporate Restructuring & Insolvency,Debt Capital Markets,Derivatives & Structured Products,Emerging Markets,High Yield,Islamic Finance,Securitisation,Trade Finance
Addleshaw Goddard,,,,,,,,,,,,,,*
Akin Gump Strauss Hauer & Feld,,,,,,,*,,,*,,,,
Allen & Overy,*,,*,*,,,*,*,*,*,*,*,*,*
Ashurst,*,,,,*,*,,*,*,*,,*,,
Baker & McKenzie,,,,,,,,*,,*,,,,*
Cadwalader Wickersham & Taft,,,,,,,,,*,,,,*,
Cahill Gordon & Reindel,,,,,,,,,,,*,,,
Cleary Gottlieb Steen & Hamilton,,,,,,,,*,,,,,,
Clifford Chance,*,,*,*,,,*,*,*,*,,*,*,*
Clyde & Co,,,,,,*,,,,,,,,
CMS,,,,,,,,,*,,,,,
Cravath Swaine & Moore,,,,,,,,,,,*,,,
Davis Polk,,,,,,,,*,,,,,,
Dentons,,,*,,*,,,,,*,,*,,*
DLA Piper,,*,,,,*,,,,*,,,,
Foot Anstey,,,,,,,,,,,,*,,
Freshfields Bruckhaus Deringer,*,,,*,,,*,*,,,,,*,
Herbert Smith Freehills,,,,,,,,*,,*,,*,*,
Hill Dickinson,,,,,,*,,,,,,,,
Hogan Lovells,,,,,,,,,*,*,,*,*,*
Holman Fenwick Willan,,,,,*,*,,,,,,,,*
Ince & Co,,,,,,*,,,,,,,,
Irwin Mitchell,,*,,,,,,,,,,,,
Jones Day,,,,,,,,,,,,,,*
K&L Gates,,,,,,,,,,,,*,,
King & Spalding,,,,,,,,,,,,,,
Kirkland & Ellis,*,,,,,,*,,,,,,,
Latham & Watkins,*,,,,,,,*,,,*,,,
Linklaters,*,,,*,*,,*,*,*,*,*,,*,*
Mayer Brown,,*,,,,,,,*,*,,,*,
McDermott Will & Emery,,,,,,*,,,,,,,,
Milbank,,,,,,,,,*,*,,,,
Norton Rose Fulbright,,*,*,,*,*,,*,,*,,*,*,*
Orrick Herrington & Sutcliffe,,,,,*,,,,,,,,,
Reed Smith,,,,,*,*,,,,,,,,*
Ropes & Gray,,,,,,,,,,,*,,,
Shearman & Sterling,,,,,*,,,*,*,*,*,,,
Sidley Austin,,,,,,,,,*,,,,,
Simmons & Simmons,,,,,*,,,,*,,,,*,*
Simpson Thacher & Bartlett,,,,,,,,,,,*,,,
Skadden,,,,,,,,*,,,,,,
Slaughter and May,,,,*,,,,*,*,,,,*,
Squire Patton Boggs,,*,,,,,,,,,,,,
Stephenson Harwood,,,*,,,*,,,,,,,,
Sullivan & Cromwell,,,,,,,,*,,,*,,,
Sullivan & Worcester,,,,,,,,,,,,,,*
Sutherland,,,,,,*,,,,,,,,
Thomas Cooper,,,,,,*,,,,,,,,*
Trowers & Hamlins,,,,,,,,,,,,*,,
Watson Farley & Williams,,,*,,,*,,,,,,,,
Weil,*,,,,,,*,,*,,,,*,
White & Case,*,,*,,,,,*,*,*,*,*,,*
