All,Administrative & Public Law,Civil Liberties & Human Rights,Education: Individuals,Education: Institutions,Education: Schools,Electoral,Healthcare,Infrastructure (Parliamentary),Local Government
Addleshaw Goddard,,,,,,,*,,
Allen & Overy,*,,,,,,,,
Baker & McKenzie,*,,,,,,,,
Bates Wells Braithwaite,*,,,*,*,*,,,
Berwin Leighton Paisner,,,,,,,,*,*
Bevan Brittan,*,,,,,,*,,*
Bhatt Murphy,*,*,,,,,,,
Bindmans,*,*,,,,,*,,
Bircham Dyson Bell,,,,,,,,*,
Bird & Bird,,,,,,,*,,
Blake Morgan,,,,,,,*,,
Browne Jacobson,,,,,*,,,,
Burges Salmon,,,,,,,,,*
Capsticks,,,,,,,*,,
Charles Russell Speechlys,,,,,,,*,,
CMS,,,,,,,*,,
DAC Beachcroft,*,,,*,,,*,,
Deighton Pierce Glynn,*,*,,,,,,,
Douglas Silas Solicitors,,,*,,,,,,
Eversheds,,,,*,,,*,*,*
Farrer & Co,,,,*,*,,,,
Fieldfisher,*,,,,,,,,
Gowling WLG,,,,,,,*,,
Hempsons,,,,,,,*,,
Herbert Smith Freehills,*,,,,,,,,
Hickman and Rose,,*,,,,,,,
Hodge Jones & Allen,,*,,,,,,,
Hogan Lovells,*,,,,,,,,
Irwin Mitchell,*,,*,,,,,,
John Ford Solicitors,,,*,,,,,,
K&L Gates,,,,,,*,,,
Kingsley Napley,*,,,,,,,,
Leigh Day,*,*,*,,,,,,
Match Solicitors,,,*,,,,,,
Maxwell Gillott,,,*,,,,,,
Mills & Reeve,,,,*,,,*,,
Pinsent Masons,,,,*,,,*,*,*
Russell-Cooke,,,*,,,,,,
Shakespeare Martineau,,,,*,,,,,
Sharpe Pritchard,,,,,,*,,*,*
Steel & Shamash,,,,,,*,,,
Stone King,,,,,*,,,,
Trowers & Hamlins,,,,,,,*,,*
Veale Wasbrough Vizards,,,,*,*,,,,
Weightmans,,,,*,,,,,*
Winckworth Sherwood,,,,,*,,,*,
